id	name
skvr_1	Ahlqvist, A. E.
skvr_2	Ahtia, E.
skvr_3	Andberg, A. F.
skvr_4	Andersson, G. A.
skvr_5	Angervo, P. A.
skvr_6	Ban, Aladar
skvr_7	Basilier, Hj.
skvr_8	Blomqvist, Erkki
skvr_9	Borenius, A. A.
skvr_10	Brander, G. A.
skvr_11	Brander, Untamo
skvr_12	Branders, Anders Adrian
skvr_13	Cleve, K.
skvr_14	Collan, Anni
skvr_15	Engelberg, R. S.
skvr_16	Erkko, J. H.
skvr_17	Europaeus, D. E. D.
skvr_18	Floman, A. V.
skvr_19	Genetz, A.
skvr_20	Gottlund, K. A.
skvr_21	Hällström, A.
skvr_22	Hahl, T.
skvr_23	Hainari, O. A.
skvr_24	Hakulinen, J. H.
skvr_25	Hannikainen ja Vinter
skvr_26	Hannikainen, Lauri
skvr_27	Havukainen, M.
skvr_28	Heinonen, V.
skvr_29	Ikonen, P.
skvr_30	Hoffrén, J.
skvr_31	Holmberg, U.
skvr_32	Holopainen, A.
skvr_33	Hotinen, Juho
skvr_34	Hyttinen, K.
skvr_35	Hyvärinen, Alex
skvr_36	Hyvärinen, E. J.
skvr_37	Hänninen, Laina
skvr_38	Härkönen, Iivo
skvr_39	Härkönen, Jaakko
skvr_40	Jurva, Hilma
skvr_41	Jyväskylän lyseon konventti
skvr_42	Kallio, Alma
skvr_43	Kallio, Niilo
skvr_44	Kallio, Pekka
skvr_45	Kallio, V. J.
skvr_46	Karjalainen, Kr.
skvr_47	Blomstedt-Ojoinen, Yrjö
skvr_48	Länkelä, Jaako
skvr_49	Groundström, Oskar
skvr_50	Karttunen, Uuno
skvr_51	Kemppainen, Eino
skvr_52	Kettunen, Paul
skvr_53	Killinen, Kustaa
skvr_54	Keinänen, O. A. J.
skvr_55	Porkka, Volmari
skvr_56	Rein, Gabriel
skvr_57	Koivisto, Vilho
skvr_58	Kokkonen, Heikki
skvr_59	Kontio, Kalle
skvr_60	Koskinen, A. R.
skvr_61	Tuntematon
skvr_62	Voutilainen, H.
skvr_63	Krohn, Julius
skvr_64	Krohn, Kaarle
skvr_65	Kuopion Isänmaallinen Seura
skvr_66	Kuopion lyseon toverikunta
skvr_67	Kurvinen, P. J.
skvr_68	Kärki, Juho
skvr_69	Könönen, Aulis V.
skvr_70	Lagervall, J. F.
skvr_71	Laitinen, Henrik
skvr_72	Laitinen, M.
skvr_73	Lilius, Lilli
skvr_74	Lonkainen, Jaakko
skvr_75	Lukkarinen, Juho
skvr_76	Lönnbohm, O. A. F.
skvr_77	Lönnrot, Elias
skvr_78	Manninen, Ilmari
skvr_79	Mikkonen, Ida
skvr_80	Muudan mökinmies
skvr_81	Neovius, A. D.
skvr_82	Nervander
skvr_83	Nevalainen, Mandi
skvr_84	Niemi, A. R.
skvr_85	Niittylahden kansanopisto
skvr_86	Nurmio, M.
skvr_87	Ohrt, F.
skvr_88	Okkonen, Onni
skvr_89	Ollilainen, P.
skvr_90	Paavilainen, Albert
skvr_91	Palviainen, Jehki
skvr_92	Pantsu, A.
skvr_93	Paulaharju, Samuli
skvr_94	Pennanen, Matti
skvr_95	Pitkänen, Anni
skvr_96	Pitkänen, Juho
skvr_97	Pohjakallio, K. A.
skvr_98	Polén, R.
skvr_99	Poppius
skvr_100	Poppius, Wilhelm, ja Lagi, Rudolf
skvr_101	Potschtareff, Wasilei
skvr_102	Poutiainen, Paavo
skvr_103	Puustinen, A.
skvr_104	Puustinen, Viljo
skvr_105	Puustinen, Väinö
skvr_106	Päivinen, Valter
skvr_107	Reinholm, H. A.
skvr_108	Relander, J. E.
skvr_109	Relander, O.
skvr_110	Roschier, J. V.
skvr_111	Rytkönen, Antti
skvr_112	Ryynänen, J.
skvr_113	Räisänen, Juho
skvr_114	Salminen, Kaarina
skvr_115	Salminen, Väinö
skvr_116	Schantz, Joh. Filip von
skvr_117	Siitonen, M.
skvr_118	Sirelius, Z.
skvr_119	Sirén, Signe
skvr_120	Sivori, E.
skvr_121	Sjögrén, A. J.
skvr_122	Sjöström, Juhani
skvr_123	Smalén, A.
skvr_124	Maukonen, J.
skvr_125	Soini, Lauri
skvr_126	Sortavalan seminaari
skvr_127	Suhonen, Hilja
